coreT,inT,outT,QL,QF,HP,CoreQPower,v1,v2,qPow,qSP,qSV,qCur,qSetV,seq,steps,2h2--4he
200.0011196,175.8735636,25.06390207,100,69.01071786,17.29136976,3.268404605,8.784639305,8.099951871,47.88199886,54.02358621,300.1310345,0.163002241,300,11,359,2
200.0007892,175.8611734,25.06390207,150,42.91954493,17.46684855,2.822758381,8.957786887,8.387896988,47.76338886,57.02555172,300.1344828,0.161650138,300,12,179,2
200.0007513,175.8570267,25.06390207,300,20.01084852,17.87932083,2.224519917,9.052371262,8.615403238,48.13575928,57.02227586,300.1172414,0.161389138,300,13,179,2
199.9965694,175.6580448,25.06390207,100,10,19.72485834,0,0,0,0,3.105517241,300.2,0.003830483,300,14,179,2
249.9997779,219.8286166,25.06390207,100,10,26.91397914,0,0,0,0,3.002,300.2,0.003837345,300,15,719,2
250.0025219,219.9611075,25.06390207,300,19.881975,24.69039697,2.664899929,9.102072786,8.57520481,48.06442107,57.02293103,300.1206897,0.173106759,300,16,179,2
250.0003341,219.901662,25.06390207,150,43.08804679,24.02894066,3.358639261,9.00273337,8.316693826,47.93837583,57.02489655,300.1310345,0.172279448,300,17,179,2
250.0006119,219.8096677,25.06390207,100,69.30202772,23.76075069,3.892041301,8.859728181,8.038873798,48.1917241,54.02544828,300.1413793,0.172331448,300,18,359,2
250.0001584,219.8427619,25.06390207,150,43.29546145,24.01479921,3.439617845,9.054738911,8.357416149,48.07036566,57.02096552,300.1103448,0.171509241,300,19,179,2
250.0004767,219.9090328,25.06390207,300,19.92044528,24.56427228,2.673766548,9.103599964,8.575499905,47.95476321,57.02162069,300.1137931,0.170698655,300,20,179,2
249.9974408,219.7530276,25.06390207,100,10,26.76615131,0,0,0,0.972908483,3.002,300.2,0.003850724,300,21,179,2
300.0015764,264.8278819,25.06390207,100,10,34.67850841,0,0,0,0.975502586,3.002,300.2,0.003860345,300,22,719,2
300.0032981,264.9693351,25.06390207,300,20.00472552,32.14788948,3.047016726,9.134253036,8.528739857,48.22919917,24.42193103,300.1,0.176500966,300,23,179,2
300.0018679,264.8132598,25.06390207,150,43.74995072,31.36788438,3.917069024,9.109777988,8.308668357,48.61085403,7.554931034,300.1172414,0.177676828,300,24,179,2
300.0021068,264.6801957,25.06390207,100,69.53343841,31.04286117,4.484122829,8.944360958,7.993039455,48.37177845,17.90848276,300.2,0.176501862,300,25,359,2
299.9998359,264.778254,25.06390207,150,43.48315576,31.37702979,3.907153976,9.092864905,8.295161964,48.26560928,36.43806897,300.2,0.176021379,300,26,179,2
300.0010229,264.9140994,25.06390207,300,19.97407548,32.03658869,3.0514445,9.122197107,8.515620202,48.14739869,56.09272414,300.1275862,0.175449483,300,27,179,2
299.9965357,264.7728672,25.06390207,100,10,34.53060407,0,0,0,1.060361759,3.002,300.2,0.003848276,300,28,179,2
349.9975156,311.133567,25.06390207,100,10,43.36947134,0,0,0,1.062573448,3.105517241,300.2,0.003855448,300,29,720,2
349.9989098,311.5791995,25.06390207,300,17.52920655,41.37095838,2.585935169,8.503499093,7.950508746,48.30102634,57.02489655,300.1310345,0.169519276,300,30,179,2
350.0009229,311.6616317,25.06390207,150,39.22474176,41.00354979,3.212427428,8.804141777,8.132383783,48.16312634,54.03041379,300.1689655,0.17448669,300,31,177,2
350.0015396,311.6947494,25.06390207,100,69.33107883,40.85502197,3.499075868,8.789118734,8.052221171,48.50527834,54.96575862,300.1896552,0.176431483,300,32,359,2
350.0005756,311.6320959,25.06390207,150,39.07937372,40.90852659,3.23289031,8.830128345,8.159124845,48.38313348,54.13765517,300.1896552,0.175742103,300,33,179,2
349.9982142,311.5034032,25.06390207,300,17.82203593,41.26400572,2.592947714,8.521135238,7.969621512,48.28364134,57.03275862,300.1724138,0.175165897,300,34,179,2
